127.0.0.1 - - [07/Oct/2019:17:10:49 +0900] "GET / HTTP/1.1" 404 1074
192.168.0.59 - - [07/Oct/2019:17:11:01 +0900] "GET /app/arduGetLed HTTP/1.1" 200 219
192.168.0.59 - - [07/Oct/2019:17:11:01 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
192.168.0.59 - - [07/Oct/2019:17:12:13 +0900] "GET /app/arduGetLed HTTP/1.1" 200 219
192.168.0.59 - - [07/Oct/2019:17:14:04 +0900] "GET /app/arduGetLed HTTP/1.1" 200 219
192.168.0.59 - - [07/Oct/2019:18:56:17 +0900] "GET /app/arduGetLed HTTP/1.1" 200 219
192.168.0.59 - - [07/Oct/2019:19:03:19 +0900] "GET /app/arduGetLed HTTP/1.1" 200 219
192.168.0.59 - - [07/Oct/2019:19:04:12 +0900] "GET /app/arduGetLed HTTP/1.1" 200 219
192.168.0.59 - - [07/Oct/2019:19:05:50 +0900] "GET /app/arduGetLed HTTP/1.1" 200 219
192.168.0.59 - - [07/Oct/2019:19:11:56 +0900] "GET /app/arduGetLed HTTP/1.1" 200 219
192.168.0.59 - - [07/Oct/2019:19:12:40 +0900] "GET /app/arduGetLed HTTP/1.1" 200 219
